begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
3030,3051,,,-1,-1,"           Die Blutsverwandte,",seine eigne Schwester,"Sich zu vermählen, wider Pflic",0,"transfer(mangu, [sino, audience], siblings(nerissa, sultan))",false
32214,32251,,,-1,-1,", so wie er sich dir genennet,","Es ist Bahadars, des Verräthers Sohn.","SULTAN.                    ",1,"transfer(mangi, sultan, identity(udohla, ""Bahadar""))",false
23058,23094,,,-1,-1,"ommen, geh! mich zu verrathen.","Ich bin Bahadar, eures Feindes Sohn.",SINO.                     O,2,"transfer(udohla, sino, identity(udohla, ""Bahadar""))",false
36238,36481,,,-1,-1,"                    MANGU.","Der Aga hat mir ins Geheim gestanden,            Daß Todes-Furcht ihn zum Betrug verführt;            Daß ein geraubtes Mädchen er gezwungen            Und überredet habe zu dem Schritt,            Als unsers Sultan Schwester zu erscheinen",;            Und wie ihn Elpa,3,"transfer(mangu, sino, transfer(""Aga"", mangu, identity(nerissa, ""Geraubtes-Mädchen"")))",false
13800,13933,,,-1,-1,"sinken,            Ihm sagen:","Daß ich nicht Nerissa sey,            Nicht seine Schwester, daß ich eine Fremde            An der entflohnen Schwester Stelle sey.",Warum ließ ich zur Lüge mich b,4,"transfer(nerissa, audience, !identity(nerissa, ""Nerissa-Schwester""))",false
12425,12516,,,-1,-1,ewahrte sich mit banger Scheu.,"Mein Lieben wollte ihre Furcht besiegen,            Doch meine Liebe überwand mich selbst.",Was soll ich nun? Ich kann ihr,5,"transfer(sultan , sino, in_love_with(sultan, nerissa))",false
45726,45764,Zweiter Akt,Zweiter Akt,-1,-1,"                     SINO.","Er ist dein Bruder, ist Bahadars Sohn.","Udohla eilt auf sie zu, sie si",6,"transfer(sino, [sultan, nerissa], child_of(udohla, ""Bahadar""))",false
10925,10965,,,-1,-1,"        Mangu und Derwisch ab.","Warum o Schicksal, muß ich diese lieben?",Die Einzige die du mir hast ve,7,"transfer(sultan , audience, in_love_with(sultan, nerissa))",false
23075,23094,,,-1,-1,".            Ich bin Bahadar,",eures Feindes Sohn.,SINO.                     O,8,"transfer(udohla, sino, child_of(udohla, ""Bahadar""))",false
45530,45562,,,-1,-1,"ge, daß ich nie erwachen möge!","Ewana, meine Schwester wäre sie?",NERISSA.          Wie? Hör ic,9,"transfer(udohla, [sultan, audience], has_name(nerissa, ""Ewana""))",false
13800,13933,,,-1,-1,"sinken,            Ihm sagen:","Daß ich nicht Nerissa sey,            Nicht seine Schwester, daß ich eine Fremde            An der entflohnen Schwester Stelle sey.",Warum ließ ich zur Lüge mich b,10,"transfer(nerissa, elpa, !identity(nerissa, ""Nerissa-Schwester""), already-known)",false
3850,3894,,,-1,-1,"die königlichen Freuen wohnen,",Des Sultans Schwester wird des Sultans Weib.,"DERWISCH.                  ",11,"transfer(mangu, [derwisch, audience] engaged(nerissa, sultan))",false
40457,40496,,,-1,-1,ultan gänzlich bist verrathen?,"Daß er es weiß, du seyst Bahadars Sohn?","Was du zu fürchten hast, nagst",12,"transfer(sino, udohla, knowledge(sultan, identity(udohla, ""Bahadar"")))",false
45122,45213,,,-1,-1,merdar durch deine eigne That;,"Des Vaters Blut belastet deine Seele,            Bahadars Tochter ists, die vor dir steht.","SULTAN.          O Allah!   ",13,"transfer(nerissa, [sultan, udohla, audience], child_of(nerissa, ""Bahadar""))",false
